"","idhous99","idpers_new","idpers","sex","birthm","birthy","age","marstat","intlang","religion","disrel_fr","health","work","income","cfriends","reading","inchild","children","education","fath15","moth15","stepp15","sib15","inear15","ocfath15","edufath","mthwk15","ocmth15","edumth","fathpol","mothpol"
"114",8391,1,839102,"woman",7,1938,61,"married","german","other","","well","active occupied",15600,4,"every day",0,0,"high school","no","yes","inapplicable","yes","a guardian","skilled agricultural and fishery workers",5,"yes","elementary occupations","high school","other","other"
"115",8421,1,842101,"woman",3,1945,54,"married","german","protestant or reformed church","","well","not in labor force",24000,4,"every day",0,0,"domestic science course, 1yr","yes","yes","inapplicable","yes","both equally","craft and related trades workers",3,"yes",NA,"general training/apprenticeship","right","no particular tendency"
"116",8461,1,846102,"woman",7,1945,54,"divorced","french","protestant or reformed church","","very well","active occupied",54145,3,"every day",0,3,"general training/apprenticeship","yes","yes","inapplicable","yes","father","legislators, senior officials, managers",5,"no","service workers, market sales workers","general training/apprenticeship","right","right"
"117",8571,1,857102,"woman",9,1940,59,"married","german","protestant or reformed church","","very well","active occupied",58310,8,"every day",0,5,"compulsory or less","yes","yes","inapplicable","yes","father","craft and related trades workers",3,"no",NA,"compulsory or less","innaplicable","innaplicable"
"118",8641,1,864101,"woman",1,1933,66,"widower/widow","german","protestant or reformed church","","well","not in labor force",-2,28,"every day",0,3,"general training/apprenticeship","yes","yes","inapplicable","yes","father","craft and related trades workers",5,"yes","service workers, market sales workers","high school","right","no particular tendency"
"119",8831,1,883102,"woman",9,1936,63,"married","german","protestant or reformed church","never","well","not in labor force",19200,1,"every day",0,2,"high school","yes","yes","inapplicable","yes","father","skilled agricultural and fishery workers",1,"no","service workers, market sales workers","general training/apprenticeship","right","no particular tendency"
"120",8891,1,889103,"woman",12,1940,59,"married","french","protestant or reformed church","never","well","not in labor force",-4,1,"every day",2,4,"general training/apprenticeship","yes","yes","inapplicable","yes","father","elementary occupations",3,"no","service workers, market sales workers","general training/apprenticeship","left","don't know"
"121",8911,1,891101,"woman",5,1933,66,"widower/widow","german","roman catholic","","well","not in labor force",-2,2,"every day",0,4,"domestic science course, 1yr","yes","yes","inapplicable","yes","father","service workers, market sales workers",5,"yes","craft and related trades workers","general training/apprenticeship","right","right"
"122",8931,1,893101,"woman",2,1948,51,"divorced","german","other","","well","active occupied",89726,NA,"at least once a month",3,7,"general training/apprenticeship","yes","yes","inapplicable","yes","father","craft and related trades workers",NA,"yes",NA,NA,"innaplicable","innaplicable"
"123",9021,1,902102,"woman",9,1932,67,"married","german","protestant or reformed church","never","well","not in labor force",-4,3,"every day",0,0,"general training/apprenticeship","yes","yes","inapplicable","yes","father","professionals",15,"no","technicians and associate professionals","general training/apprenticeship","right","centre"
"124",9041,1,904101,"woman",7,1936,63,"married","german","roman catholic","","well","active occupied",-4,NA,"every day",0,4,"compulsory or less","yes","yes","inapplicable","yes","father","skilled agricultural and fishery workers",3,"no","service workers, market sales workers","compulsory or less","innaplicable","innaplicable"
"125",9201,1,920102,"woman",12,1924,75,"married","french","roman catholic","","well","not in labor force",-4,NA,"every day",0,2,"compulsory or less","no","no","inapplicable","no","a guardian","elementary occupations",1,"no",NA,"compulsory or less","innaplicable","innaplicable"
"126",9251,1,925101,"woman",4,1943,56,"divorced","french","roman catholic","","so, so (average)","active occupied",-2,28,"every day",0,2,"high school","yes","yes","inapplicable","yes","both equally","technicians and associate professionals",3,"yes","technicians and associate professionals","compulsory or less","right","right"
"127",9271,1,927101,"woman",10,1927,72,"widower/widow","german","roman catholic","","so, so (average)","not in labor force",-2,NA,"every day",0,1,"compulsory or less","yes","yes","inapplicable","yes","father","service workers, market sales workers",3,"no","service workers, market sales workers","compulsory or less","innaplicable","innaplicable"
"128",9311,1,931102,"woman",6,1938,61,"married","german","protestant or reformed church","","very well","active occupied",576,3,"every day",0,3,"high school","yes","yes","inapplicable","yes","father","craft and related trades workers",5,"yes","service workers, market sales workers","general training/apprenticeship","right","right"
"129",9351,1,935101,"woman",1,1940,59,"married","german","protestant or reformed church","never","well","not in labor force",-2,1,"every day",0,0,"general training/apprenticeship","no","yes","inapplicable","yes","mother","craft and related trades workers",3,"yes","service workers, market sales workers","general training/apprenticeship","innaplicable","innaplicable"
"130",9421,1,942101,"woman",6,1918,81,"married","german","roman catholic","","well","not in labor force",-1,NA,"every day",0,3,"compulsory or less","yes","yes","inapplicable","yes","father","skilled agricultural and fishery workers",1,"no",NA,"compulsory or less","centre","centre"
"131",9561,1,956101,"woman",4,1944,55,"separated","german","other","","so, so (average)","active occupied",36000,NA,"every day",0,1,"domestic science course, 1yr","yes","yes","inapplicable","yes","father","technicians and associate professionals",3,"no","craft and related trades workers","general training/apprenticeship","centre","no particular tendency"
"132",9571,1,957101,"woman",11,1920,79,"widower/widow","german","protestant or reformed church","","so, so (average)","not in labor force",-2,8,"every day",0,2,"domestic science course, 1yr","yes","yes","inapplicable","yes","father","elementary occupations",3,"no",NA,"compulsory or less","no particular tendency","no particular tendency"
"133",9581,1,958101,"woman",1,1939,60,"married","german","protestant or reformed church","","well","active occupied",-5,1,"at least once a week",0,3,"general training/apprenticeship","yes","yes","inapplicable","yes","father","skilled agricultural and fishery workers",1,"yes","skilled agricultural and fishery workers","compulsory or less","innaplicable","innaplicable"
"134",9601,1,960102,"woman",1,1940,59,"married","german","protestant or reformed church","","well","not in labor force",1200,1,"at least once a week",0,3,"high school","yes","yes","inapplicable","yes","both equally","skilled agricultural and fishery workers",3,"yes","skilled agricultural and fishery workers","general training/apprenticeship","right","right"
"135",9631,1,963102,"woman",12,1929,70,"married","french","roman catholic","never","so, so (average)","not in labor force",-1,2,"every day",0,2,"compulsory or less","yes","yes","inapplicable","yes","father","craft and related trades workers",1,"no",NA,"compulsory or less","innaplicable","innaplicable"
"136",9671,1,967102,"woman",5,1939,60,"married","french","no denomination or religion","","not very well","active occupied",6500,4,"every day",0,2,"high school","yes","yes","inapplicable","yes","father","elementary occupations",3,"no",NA,"compulsory or less","don't know","don't know"
"137",9761,1,976101,"woman",5,1920,79,"single, never married","german","protestant or reformed church","","very well","not in labor force",60000,4,"every day",0,0,"high school","yes","yes","inapplicable","yes","father","technicians and associate professionals",3,"no",NA,"compulsory or less","no particular tendency","no particular tendency"
"138",9771,1,977102,"woman",11,1916,83,"married","french","protestant or reformed church","never","well","not in labor force",-2,4,"every day",0,1,"general training/apprenticeship","yes","yes","inapplicable","yes","father","skilled agricultural and fishery workers",1,"no","skilled agricultural and fishery workers","compulsory or less","centre","no particular tendency"
"139",9821,1,982102,"woman",2,1952,47,"married","french","protestant or reformed church","","well","active occupied",-5,28,"every day",2,3,"high school","yes","yes","inapplicable","yes","father","professionals",5,"no","craft and related trades workers","general training/apprenticeship","don't know","don't know"
"140",9911,1,991102,"woman",2,1945,54,"married","german","protestant or reformed church","","well","active occupied",61880,28,"every day",0,3,"general training/apprenticeship","yes","no","inapplicable","yes","a guardian","skilled agricultural and fishery workers",NA,"no","skilled agricultural and fishery workers","high school","right","don't know"
"141",10031,1,1003101,"woman",12,1936,63,"divorced","german","no denomination or religion","","so, so (average)","not in labor force",-2,1,"every day",0,3,"general training/apprenticeship","yes","yes","inapplicable","no","mother","craft and related trades workers",3,"yes",NA,NA,"innaplicable","innaplicable"
"142",10131,1,1013101,"woman",2,1948,51,"divorced","german","roman catholic","","well","active occupied",76636,12,"every day",0,0,"high school","yes","yes","inapplicable","yes","father","legislators, senior officials, managers",3,"no","craft and related trades workers","general training/apprenticeship","right","no particular tendency"
